symbol,rsi_threshold,macd_threshold,disp_threshold,btc_dom_threshold,volume_ratio,stop_loss,take_profit,trades,win_rate,avg_return
LPTUSDT,40,0.5,-0.5,55,1.2,0.04,0.08,26,30.76923076923077,1.3114512717273696
LPTUSDT,40,0.5,-0.5,60,1.2,0.04,0.08,26,30.76923076923077,1.3114512717273696
LPTUSDT,40,0.5,-0.5,65,1.2,0.04,0.08,26,30.76923076923077,1.3114512717273696
LPTUSDT,45,0.0,-1.5,50,1.2,0.04,0.08,31,29.03225806451613,0.6509214700073455
LPTUSDT,45,0.0,-1.5,55,1.2,0.04,0.08,31,29.03225806451613,0.6509214700073455
LPTUSDT,45,0.0,-1.5,60,1.2,0.04,0.08,31,29.03225806451613,0.6509214700073455
LPTUSDT,45,0.0,-1.5,65,1.2,0.04,0.08,31,29.03225806451613,0.6509214700073455
LPTUSDT,45,0.0,-1.0,50,1.2,0.04,0.08,31,29.03225806451613,0.6509214700073455
LPTUSDT,45,0.0,-1.0,55,1.2,0.04,0.08,31,29.03225806451613,0.6509214700073455
LPTUSDT,45,0.0,-1.0,60,1.2,0.04,0.08,31,29.03225806451613,0.6509214700073455
LPTUSDT,45,0.0,-1.0,65,1.2,0.04,0.08,31,29.03225806451613,0.6509214700073455
LPTUSDT,45,0.0,-0.5,50,1.2,0.04,0.08,32,31.25,1.0472860232326775
LPTUSDT,45,0.0,-0.5,55,1.2,0.04,0.08,32,31.25,1.0472860232326775
LPTUSDT,45,0.0,-0.5,60,1.2,0.04,0.08,32,31.25,1.0472860232326775
LPTUSDT,45,0.0,-0.5,65,1.2,0.04,0.08,32,31.25,1.0472860232326775
LPTUSDT,45,0.5,-1.5,50,1.2,0.04,0.08,27,29.629629629629626,1.0938741138082482
LPTUSDT,45,0.5,-1.5,55,1.2,0.04,0.08,27,29.629629629629626,1.0938741138082482
LPTUSDT,45,0.5,-1.5,60,1.2,0.04,0.08,27,29.629629629629626,1.0938741138082482
LPTUSDT,45,0.5,-1.5,65,1.2,0.04,0.08,27,29.629629629629626,1.0938741138082482
LPTUSDT,45,0.5,-1.0,50,1.2,0.04,0.08,27,29.629629629629626,1.1055438471070207
LPTUSDT,45,0.5,-1.0,55,1.2,0.04,0.08,27,29.629629629629626,1.1055438471070207
LPTUSDT,45,0.5,-1.0,60,1.2,0.04,0.08,27,29.629629629629626,1.1055438471070207
LPTUSDT,45,0.5,-1.0,65,1.2,0.04,0.08,27,29.629629629629626,1.1055438471070207
LPTUSDT,45,0.5,-0.5,50,1.2,0.04,0.08,27,29.629629629629626,1.1055438471070207
LPTUSDT,45,0.5,-0.5,55,1.2,0.04,0.08,27,29.629629629629626,1.1055438471070207
LPTUSDT,45,0.5,-0.5,60,1.2,0.04,0.08,27,29.629629629629626,1.1055438471070207
LPTUSDT,45,0.5,-0.5,65,1.2,0.04,0.08,27,29.629629629629626,1.1055438471070207
LPTUSDT,50,0.0,-1.5,50,1.2,0.04,0.08,32,28.125,0.4084602851698909
LPTUSDT,50,0.0,-1.5,55,1.2,0.04,0.08,32,28.125,0.4084602851698909
LPTUSDT,50,0.0,-1.5,60,1.2,0.04,0.08,32,28.125,0.4084602851698909
LPTUSDT,50,0.0,-1.5,65,1.2,0.04,0.08,32,28.125,0.4084602851698909
LPTUSDT,50,0.0,-1.0,50,1.2,0.04,0.08,32,28.125,0.4084602851698909
LPTUSDT,50,0.0,-1.0,55,1.2,0.04,0.08,32,28.125,0.4084602851698909
LPTUSDT,50,0.0,-1.0,60,1.2,0.04,0.08,32,28.125,0.4084602851698909
LPTUSDT,50,0.0,-1.0,65,1.2,0.04,0.08,32,28.125,0.4084602851698909
LPTUSDT,50,0.0,-0.5,50,1.2,0.04,0.08,33,30.303030303030305,0.8001610999592269
LPTUSDT,50,0.0,-0.5,55,1.2,0.04,0.08,33,30.303030303030305,0.8001610999592269
LPTUSDT,50,0.0,-0.5,60,1.2,0.04,0.08,33,30.303030303030305,0.8001610999592269
LPTUSDT,50,0.0,-0.5,65,1.2,0.04,0.08,33,30.303030303030305,0.8001610999592269
LPTUSDT,50,0.5,-1.5,50,1.2,0.04,0.08,28,32.142857142857146,1.4792816546622727
LPTUSDT,50,0.5,-1.5,55,1.2,0.04,0.08,28,32.142857142857146,1.4792816546622727
