type,time,price,position,balance,rsi,pnl,win,win_streak,lose_streak,month
entry,2024-12-14 01:25:00,102585.93,short,9897.835658350225,99.76738369184766,-0.010002164810188674,False,0,1,2024-12
exit,2024-12-14 09:41:00,101511.71,short,9998.882800000156,,0.010209013883220486,True,1,0,2024-12
entry,2024-12-14 11:32:00,101659.62,short,9898.882800000156,98.08259587020902,-0.010001117324827336,False,0,1,2024-12
exit,2024-12-15 04:22:00,102693.12,short,9997.86617215913,,0.009999448842749503,True,1,0,2024-12
entry,2024-12-15 05:04:00,102462.22,short,9897.86617215913,100.0,-0.010002134283260133,False,0,1,2024-12
exit,2024-12-15 23:05:00,103676.13,short,9996.681433042606,,0.00998349130658327,True,1,0,2024-12
entry,2024-12-16 01:18:00,105456.03,short,9896.681433042606,100.0,-0.010003319668611677,False,0,1,2024-12
exit,2024-12-16 03:50:00,104376.0,short,9997.705585004329,,0.01020788156567587,True,1,0,2024-12
entry,2024-12-16 04:12:00,104683.61,short,9897.705585004329,98.72957011400116,-0.010002294941550471,False,0,1,2024-12
exit,2024-12-16 12:44:00,103612.55,short,9998.728725111934,,0.010206723087486269,True,1,0,2024-12
entry,2024-12-16 12:56:00,103659.69,short,9898.728725111934,100.0,-0.01000127143652263,False,0,1,2024-12
exit,2024-12-16 14:35:00,104702.73,short,9997.722509484625,,0.01000065635919034,True,1,0,2024-12
entry,2024-12-16 19:54:00,106575.98,short,9897.722509484625,98.20991143772018,-0.010002278009329846,False,0,1,2024-12
exit,2024-12-16 23:34:00,105484.08,short,9998.747036774921,,0.010206845786340013,True,1,0,2024-12
entry,2024-12-16 23:51:00,106015.46,short,9898.747036774921,98.9349348020816,-0.010001253120236475,False,0,1,2024-12
exit,2024-12-17 07:26:00,107079.99,short,9997.74290964101,,0.010000848844637478,True,1,0,2024-12
entry,2024-12-17 10:59:00,107209.67,short,9897.74290964101,100.0,-0.010002257599919684,False,0,1,2024-12
exit,2024-12-17 15:24:00,106035.05,short,9998.83853842151,,0.010214008355584392,True,1,0,2024-12
entry,2024-12-17 19:27:00,106895.94,short,9898.83853842151,99.07429963459242,-0.010001161596493446,False,0,1,2024-12
exit,2024-12-17 22:26:00,105777.37,short,9999.884948603225,,0.010207905684036733,True,1,0,2024-12
entry,2024-12-18 07:43:00,104192.55,short,9899.884948603225,99.73532939084429,-0.01000011505272047,False,0,1,2024-12
exit,2024-12-18 12:12:00,105300.0,short,9998.822060709608,,0.009993763828572755,True,1,0,2024-12
entry,2024-12-18 20:51:00,101547.69,short,9898.822060709608,99.46761911180062,-0.01000117807806089,False,0,1,2024-12
