timestamp,price,score,indicators
2025-05-12 18:00:00,101630.59,4,"{'RSI': 28.572456405423907, 'MACD': -428.385772659356, 'BB_position': -0.13824385673175532, 'volume_ratio': 3.8661495285447756}"
2025-05-18 18:00:00,104498.0,4,"{'RSI': 63.068268867978496, 'MACD': 462.5380665085104, 'BB_position': 0.6416557537548047, 'volume_ratio': 2.262903016270987}"
2025-05-19 00:00:00,105260.88,4,"{'RSI': 59.0237369004881, 'MACD': 491.57411166735983, 'BB_position': 0.7038978596696629, 'volume_ratio': 3.0998300311839917}"
2025-05-19 06:00:00,102208.0,6,"{'RSI': 29.498858722040865, 'MACD': -168.36270587593026, 'BB_position': -0.02643690900287432, 'volume_ratio': 2.8613647819134354}"
2025-05-19 13:00:00,103294.11,4,"{'RSI': 27.414497203389914, 'MACD': -354.9452966260433, 'BB_position': 0.37932726653975785, 'volume_ratio': 1.933726133374228}"
2025-05-19 15:00:00,104786.41,4,"{'RSI': 48.071886303598276, 'MACD': -120.23043961537769, 'BB_position': 0.6931952354263952, 'volume_ratio': 2.2852449876587997}"
2025-05-21 07:00:00,106527.16,4,"{'RSI': 52.6570103288889, 'MACD': 519.0230174230383, 'BB_position': 0.5565011479078588, 'volume_ratio': 2.1713749540974643}"
2025-05-21 17:00:00,106592.79,4,"{'RSI': 48.429173775469536, 'MACD': 540.7068950240355, 'BB_position': 0.35213462411341273, 'volume_ratio': 7.773983283885511}"
2025-05-21 19:00:00,108603.79,4,"{'RSI': 55.711219764083154, 'MACD': 523.5736351667001, 'BB_position': 0.8572175786136346, 'volume_ratio': 3.2090960630008083}"
2025-05-21 23:00:00,109643.99,4,"{'RSI': 68.50306131439883, 'MACD': 683.4998523140093, 'BB_position': 0.9491114382332138, 'volume_ratio': 5.853073755243391}"
2025-05-22 00:00:00,109954.53,4,"{'RSI': 69.1072102322189, 'MACD': 772.8845804086013, 'BB_position': 0.9449327696161416, 'volume_ratio': 2.6711326639681827}"
2025-05-22 01:00:00,109920.68,4,"{'RSI': 68.1324185012746, 'MACD': 831.4072638968646, 'BB_position': 0.8859277734195066, 'volume_ratio': 2.2093205906725863}"
2025-05-22 02:00:00,110471.51,4,"{'RSI': 69.8319190932584, 'MACD': 911.7244972406916, 'BB_position': 0.9257725380706747, 'volume_ratio': 2.6326772835245458}"
2025-05-22 04:00:00,111482.42,4,"{'RSI': 63.77678154208845, 'MACD': 1155.7180568725162, 'BB_position': 0.9320136267819236, 'volume_ratio': 2.2960692801052214}"
2025-05-22 05:00:00,110879.99,4,"{'RSI': 59.94568744092492, 'MACD': 1162.6598294794967, 'BB_position': 0.8123232557941771, 'volume_ratio': 3.214523757400873}"
2025-05-23 11:00:00,109076.35,4,"{'RSI': 32.87892002208669, 'MACD': 37.2284603711887, 'BB_position': -0.3703373839221815, 'volume_ratio': 3.3108879120644454}"
2025-05-23 12:00:00,108412.77,6,"{'RSI': 26.709945886093138, 'MACD': -150.49921990785515, 'BB_position': -0.26561276916433174, 'volume_ratio': 8.156001989182231}"
2025-05-27 01:00:00,108385.31,4,"{'RSI': 31.84887867853884, 'MACD': 34.08273202984128, 'BB_position': -0.191968381260128, 'volume_ratio': 2.8637303934868386}"
2025-05-27 02:00:00,108272.72,4,"{'RSI': 29.97278504827058, 'MACD': -43.006584925504285, 'BB_position': -0.10476315644530936, 'volume_ratio': 1.0186347391705848}"
2025-05-27 13:00:00,109837.26,4,"{'RSI': 55.807564104414155, 'MACD': 156.54356907274632, 'BB_position': 0.826858361497246, 'volume_ratio': 3.5073679342736934}"
2025-05-27 14:00:00,109374.75,4,"{'RSI': 53.284249160958346, 'MACD': 137.04726178788405, 'BB_position': 0.5619456907328225, 'volume_ratio': 2.579665177491682}"
2025-05-28 14:00:00,107522.72,4,"{'RSI': 24.190040279409644, 'MACD': -288.1938238194416, 'BB_position': -0.20549168415857139, 'volume_ratio': 2.54487890557616}"
2025-05-28 15:00:00,107107.31,4,"{'RSI': 25.130507945208905, 'MACD': -386.21935272468545, 'BB_position': -0.22294613835849952, 'volume_ratio': 2.769931600934345}"
2025-05-30 16:00:00,103898.75,4,"{'RSI': 26.719154056323788, 'MACD': -516.4066378421849, 'BB_position': -0.27359793759916223, 'volume_ratio': 3.2044678061003977}"
2025-06-02 11:00:00,104047.64,4,"{'RSI': 25.73893357802598, 'MACD': -17.420841780811315, 'BB_position': -0.11451360920329769, 'volume_ratio': 0.9025715419749663}"
2025-06-02 13:00:00,103800.0,4,"{'RSI': 22.83953346479342, 'MACD': -131.5893444198009, 'BB_position': -0.046333698369181185, 'volume_ratio': 1.310601289871989}"
2025-06-05 19:00:00,101914.77,4,"{'RSI': 26.563244596053963, 'MACD': -546.1602030517679, 'BB_position': -0.2075744906893617, 'volume_ratio': 3.0454335403611528}"
2025-06-05 20:00:00,100483.91,4,"{'RSI': 21.92364174492731, 'MACD': -770.1211162190448, 'BB_position': -0.25021246018408444, 'volume_ratio': 4.208480206375434}"
