timestamp,open,high,low,close,volume
2024-12-09 07:02:00,2.876,2.8785,2.874,2.8762,11885.9
2024-12-09 07:03:00,2.8764,2.8806,2.8733,2.8795,15121.6
2024-12-09 07:04:00,2.8792,2.8825,2.8757,2.876,48317.3
2024-12-09 07:05:00,2.8757,2.8768,2.8653,2.8687,47526.9
2024-12-09 07:06:00,2.8688,2.8756,2.864,2.8701,55465.7
2024-12-09 07:07:00,2.8701,2.8703,2.8652,2.867,17583.4
2024-12-09 07:08:00,2.8671,2.8671,2.8562,2.8631,88282.4
2024-12-09 07:09:00,2.8631,2.8666,2.859,2.8599,13905.7
2024-12-09 07:10:00,2.8599,2.8605,2.851,2.8532,57476.3
2024-12-09 07:11:00,2.8552,2.8613,2.8546,2.8591,42487.5
2024-12-09 07:12:00,2.8587,2.859,2.8516,2.8533,36668.5
2024-12-09 07:13:00,2.8525,2.8563,2.8481,2.85,59064.5
2024-12-09 07:14:00,2.8502,2.8599,2.8478,2.8583,58043.4
2024-12-09 07:15:00,2.8586,2.8666,2.8574,2.8577,25018.1
2024-12-09 07:16:00,2.8576,2.859,2.8506,2.8507,55750.1
2024-12-09 07:17:00,2.851,2.8605,2.851,2.854,59565.6
2024-12-09 07:18:00,2.854,2.854,2.8447,2.8447,32944.8
2024-12-09 07:19:00,2.8446,2.8509,2.8425,2.8435,29922.4
2024-12-09 07:20:00,2.8434,2.8488,2.841,2.8421,47631.9
2024-12-09 07:21:00,2.8415,2.8523,2.8383,2.8488,67824.1
2024-12-09 07:22:00,2.8494,2.8515,2.8419,2.8476,56141.7
2024-12-09 07:23:00,2.8467,2.8528,2.8381,2.8508,43251.3
2024-12-09 07:24:00,2.8522,2.8623,2.847,2.861,38973.4
2024-12-09 07:25:00,2.861,2.8648,2.8586,2.864,10295.1
2024-12-09 07:26:00,2.8639,2.8657,2.8608,2.8615,27259.0
2024-12-09 07:27:00,2.8612,2.8634,2.8492,2.8509,243124.7
2024-12-09 07:28:00,2.8507,2.8516,2.836,2.8427,68581.0
2024-12-09 07:29:00,2.8428,2.8468,2.842,2.8456,16732.6
2024-12-09 07:30:00,2.8451,2.8511,2.8438,2.8483,37575.0
2024-12-09 07:31:00,2.8479,2.8489,2.844,2.8456,16793.4
2024-12-09 07:32:00,2.8455,2.8478,2.8425,2.843,10378.3
2024-12-09 07:33:00,2.8431,2.8446,2.8334,2.835,31763.4
2024-12-09 07:34:00,2.8352,2.8463,2.8335,2.8463,20874.6
2024-12-09 07:35:00,2.8464,2.8476,2.8333,2.8453,86473.3
2024-12-09 07:36:00,2.8451,2.8576,2.8435,2.8576,28035.6
2024-12-09 07:37:00,2.8575,2.8586,2.8528,2.8539,30012.0
2024-12-09 07:38:00,2.8539,2.861,2.853,2.8602,23765.8
2024-12-09 07:39:00,2.8599,2.8637,2.8564,2.8626,18599.9
2024-12-09 07:40:00,2.8623,2.8636,2.8589,2.8607,19048.0
2024-12-09 07:41:00,2.8604,2.8631,2.8593,2.8609,9475.3
2024-12-09 07:42:00,2.8608,2.8653,2.859,2.8601,10833.8
2024-12-09 07:43:00,2.8601,2.8695,2.86,2.8686,37885.6
2024-12-09 07:44:00,2.8687,2.8729,2.868,2.8729,17043.1
